grant_date;year;month;region_name;prov_name;mun_name;grantor;benef_id;benef_name;benef_type;aid_type;purpose;fund_type;fund_eu;fund_state;fund_regional;fund_local;fund_other;amt_granted;amt_paid
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Alacant/Alicante;Secretaria Autonómica de Vivienda;E42665265;HERMANOS FERNANDEZ SLAATTEN CB;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;55660.36;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Alacant/Alicante;Secretaria Autonómica de Vivienda;E03520822;CDAD PROP EDFICIO PARQUE;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;60286.35;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Santa Pola;Secretaria Autonómica de Vivienda;H03525037;CDAD PROP CALLE RAMON Y CAJAL, 15 DE SANTA POLA;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;27965.38;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Alcoi/Alcoy;Secretaria Autonómica de Vivienda;H03531373;CDAD PROP CALLE DOCTOR GUERAU, 3 DE ALCOY;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;30306.23;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Elx/Elche;Secretaria Autonómica de Vivienda;H03644903;CDAD PROP CL GASPAR QUILES PASCUAL 17 DE ELCHE;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;90250.6;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Elx/Elche;Secretaria Autonómica de Vivienda;H03647864;CDAD PROP CL ANTONIO MORA FERRANDEZ 19 DE ELCHE;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;64418.64;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Cocentaina;Secretaria Autonómica de Vivienda;H03648391;CDAD DE PROP DE LA AVENIDA PAIS VALENCIA N 96 DE C;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;46338.17;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Villena;Secretaria Autonómica de Vivienda;H54155510;CDAD PROP CLARA CAMPOAMOR 1;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;20217.18;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Elx/Elche;Secretaria Autonómica de Vivienda;H03538782;CDAD PROP CALLE LA TORRE, 51 DE ELCHE;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;7814.4;0
30/12/2024;2024;12;Alicante / Alacant;Alicante/Alacant;Alcoi/Alcoy;Secretaria Autonómica de Vivienda;H03539194;CDAD PROP CALLE OLIVER, 44 DE ALCOY;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;Acceso a la vivienda y fomento de la edificación;Autonómica/Estatal;0;12736696;5458584;0;0;25180.79;0
