mes_sol;año_sol;desc_cnae;empresa_municipio;localidades_centro_trab;desc_sector;total_trab_sus;trab_hombres_sus;trab_mujeres_sus
11;2024;Transporte de mercancías por carretera;Alicante;Alicante;SERVICIOS;1;1;0
12;2024;Educación secundaria técnica y profesional;Elche;Elche;SERVICIOS;3;2;1
11;2024;Fabricación de muebles de oficina y de establecimientos comerciales;Benicarló;Benicarló;INDUSTRIA;63;52;11
11;2024;Fabricación de carrocerías para vehículos de motor, fabricación de remolques y semirremolques;Peñíscola;Peñíscola;INDUSTRIA;87;55;32
11;2024;Transporte por taxi;Castellón de la Plana;Castellón De La Plana;SERVICIOS;1;1;0
11;2024;Transporte de mercancías por carretera;Moncófar;Moncófar;SERVICIOS;2;2;0
12;2024;Transporte de mercancías por carretera;Moncófar;Moncófar;SERVICIOS;2;2;0
10;2024;Servicios integrales a edificios e instalaciones;Cuart de Poblet;Aldaya;SERVICIOS;0;0;0
11;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Ribarroja del Turia;Riba-Roja De Túria;INDUSTRIA;86;53;33
11;2024;Actividades de las empresas de trabajo temporal;Madrid;"Aldaya; Almussafes; Gandía";SERVICIOS;79;60;19
11;2024;Comercio al por menor de prendas de vestir en establecimientos especializados;Málaga;Aldaya;SERVICIOS;4;0;4
11;2024;Fabricación de otros muebles;Cuart de Poblet;Quart De Poblet;INDUSTRIA;345;0;0
11;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Almussafes;"Almazora; Almussafes; Bétera; Ibi; Meliana; Museros; Náquera; Paterna; Riba-Roja De Túria";INDUSTRIA;464;345;119
11;2024;Actividades de las empresas de trabajo temporal;Madrid;Paterna;SERVICIOS;31;0;31
11;2024;Transporte de mercancías por carretera;Ribarroja del Turia;Riba-Roja De Túria;SERVICIOS;149;139;10
11;2024;Fabricación de vehículos de motor;Almussafes;Almussafes;INDUSTRIA;4281;0;0
